Vertice,C,254;Hoja_MTN,C,50;Situacion,C,254;Señal,C,254;Referencia,C,50;Referenc_1,C,50;Referenc_2,C,50;Referenc_3,C,50;X_ED50,N,19,11;Y_ED50,N,19,11;X_ETRS89,N,19,11;Y_ETRS89,N,19,11;Z_Ortometr,N,19,11;Altura,N,19,11;AzmVert1Vi,C,50;Nombre1Vis,C,50;AzmVert2Vi,C,50;Nombre2Vis,C,50;AzmVert3Vi,C,50;Nombre3Vis,C,50;AzmVert4Vi,C,50;Nombre4Vis,C,50;Año,N,9,0;Fecha,D
6688;559;En base de hormigón de escultura Utande, situada sobre un cerro, en el Parque Juan Carlos I.;Clavo Reglamentario.;Esquina base 0.32;Esquina base 2.20;Esquina registro 1.69;Esquina registro 0.97;448616,813;4479957,208;448507,436;4479749,616;668,783;719,804;;6680;;9183;;1952;;;2006;30/06/2006
6689;559;En el bordillo Sur de la Glorieta de Luxemburgo, junto a la C/ Ribera del Sena. Sobre el bordillo de la acera, junto a un seto que bordea la acera de la plaza.;Clavo Reglamentario.;Esquina arqueta 1.86;Esquina arqueta 2.26;Bordillo de acera 4.91;Esquina arqueta 6.16;447556,497;4479528,61;447447,122;4479321,028;671,205;722,23;;3129;;3130;;155;;;2006;30/06/2006
6690;559;En el bordillo Sur de la rotonda, que está situada en el cruce de las calles Vía de Dublín y Avenida del Partenón, y que se llama Glorieta de Hamburgo.;Clavo Reglamentario.;;;;;448187,835;4479652,446;448078,457;4479444,858;670,944;721,969;;3133;;6692;;;;;2006;30/06/2006
6691;559;En la mediana final de la Vía Dublín, justo en el encuentro con la Glorieta de la Acrópolis, entre el Edificio Génesis y el Parque Juan Carlos I.;Clavo Reglamentario.;Bordillo de mediana 0.83;Señal de tráfico 0.56;Cartel informativo 3.05;Esquina marca vial 1.76;447957,888;4479302,2;447848,507;4479094,614;667,052;718,082;;6690;;3060;;3132;;;2006;30/06/2006
6692;559;Empotrado en bordillo de acera. En la entrada al campo de golf El Olivar, que se encuentra entre el Ifema y el Campo de las Naciones.;Clavo Reglamentario.;Esquina de paso peatonal 2.67;Esquina de paso peatonal 2.15;Esquina en muro 5.80;Esquina en muro 5.65;448275,924;4479818,799;448166,548;4479611,211;671,423;722,446;;6693;;;;;;;2006;30/06/2006
6693;559;En la mediana de la Gran Vía de Dublin, en el lado Norte del cruce que está frente a la entrada Este a Ifema, la más cercana al pabellón número 8.;Clavo Reglamentario.;Esquina bordillo 5.58;Esquina bordillo 4.49;Señal de tráfico 6.09;Bordillo de acera 8.12;448204,934;4480183,682;448095,562;4479976,094;665,489;716,511;;6692;;6683;;;;;2006;30/06/2006
6694;559;Empotrado en bordillo de acera en calle de bnueva construcción. En la prolongación de la C/ Moreruela.;Clavo Reglamentario.;Farola 2.60;Esquina alcorque 3.38;Esquina alcorque 4.02;Esquina paso peatonal 2.65;446419,402;4482095,195;446310,06;4481887,629;693,937;744,956;;1815;;9184;;;;;2006;30/06/2006
6695;559;En bordillo en la C/ de la Maragatería,  intersección con la C/ Hermanos Gascón, al comienzo de ésta.;Clavo Reglamentario.;Centro registro CYII 1.00;Centro registro CYII 2.34;Centro registro 4.28;Normal a muro 1.90;446218,619;4481630,098;446109,275;4481422,533;696,702;747,724;;5815;;6697;;;;;2006;30/06/2006
6696;559;Empotrado en bordillo de acera en calle de nueva construcción..........................;Clavo Reglamentario.;Esquina alcorque 3.30;Esquina alcorque 3.45;Esquina alcorque 3.15;Esquina alcorque 3.38;446128,806;4481676,701;446019,463;4481469,137;699,811;750,832;;9184;;;;;;;2006;30/06/2006
6697;559;En bordillo Sureste en cruce de calles. Giramos a la izquierda viniendo por la C/ Hermanos Gascón y lo encontramos en el primer cruce.;Clavo Reglamentario.;Esquina registro Telefónica 0.73;Esquina registro Telefónica 1.07;Esquina registro Unión Fenosa 2.44;Esquina registro Unión Fenosa 2.42;446255,883;4481561,727;446146,538;4481354,162;695,874;746,896;;6695;;6699;;9225;;;2006;30/06/2006
6698;559;En bordillo en la Avda. Maruja Mallo, frente a la C/ Rafaela Aparicio.;Clavo Reglamentario.;Normal a bordillo exterior 0.07;Normal a acera interior 1.90;Normal a bordillo de acera interior 4.00;Farola 7.45;446648,414;4481344,736;446539,064;4481137,166;691,502;742,526;;9225;;6530;;;;;2006;30/06/2006
